venueType	venueTypeLabel	venueTypeDescription	curation
Q110895882	2001 Club	U.S. chain of franchised disco nightclubs	
Q84860894	puppet theatre	building that houses puppet plays	
Q11713167	Polish Institute	Polish cultural institutes abroad	
Q117307883	SESC unit	centro cultural do Serviço Social do Comércio	
Q15883375	meeting center	type of center	
Q116181640	maison pour tous	Nachbarschaftszentrum in Frankreich	
Q11863339	Dům dětí a mládeže	youth club/educational and cultural center in the Czech Republic	
Q102352467	Herman Prior Activity Centre	centrally located, accessible activity centre, in Portage la Prairie. Focused on those 55+ put open to all	
Q106625831	secular humanist center	meeting place for secular humanist organisations and people	
Q129989692	wai guo zai hua wen hua zhong xin	legal form in China	
Q11254348	Q11254348		
Q7366867	sportsbook	sports gambling establishment	
Q1193438	bullring	arena where bullfighting is performed	
Q60228321	Yellow house, Skansen	building in Stockholm Municipality, Stockholm County, Sweden	
Q2916102	community school	partnership between educational institutions and community centers	
Q112521928	centre for environmental education		
Q5061188	house of culture	cultural building; cultural institution especially in socialist or social democratic societies	
Q109496446	Q109496446		
Q4063553	alpine camp	training camp in the mountains	
Q105162097	Q105162097		
Q112938071	performance venues in Hong Kong	performing arts venue in Hong Kong	
Q18355750	food hall		
Q107338221	trampoline park	Sportstätte	
Q25378123	Double-decker theatre	A theater building with two theatre halls stacked on top of eachother	
Q30313989	leisure center	building or site containing different facilities for leisure activities	
Q15629175	Multi-Use Games Area	sports venue	
Q3280043	people's house	type of building	
Q127867760	Public bouldering gym	Public type of a bouldering gym	
Q11142797	Basque trinquete	court for various indoor versions of pelota with some of the features of a real tennis court	
Q27106471	bowling alley	facility for the sport of bowling	
Q107640409	Olympic venue	venue used to host competitions of the Olympic Games	
Q104417590	sports venue under construction	sports venue currently under construction and not finished yet; this item should be removed when construction works are completed	
Q33097655	amusement center	commercial establishment providing fun activities such as bowling, darts, karaoke, sports, spa, game arcade	
Q2118241	pump track	biking circuit	
Q3033826	Dojang	formal gathering place for students of Korean martial arts	
Q115600738	Multi-Service Center	A type of community center in Houston, Texas, USA	
Q109882149	climbing gym	sports venue for sport climbing on artificial climbing walls	
Q124017602	Association football training venue		
Q109744578	Cinema 81		
Q2112202	revival house	cinema that shows classic or notable older films	
Q2944984	municipal social welfare centre	in France a socio-cultural centre run by the municipality	
Q7200599	plen-an-gwary	type of amphitheatre found in Cornwall	
Q4808723	assembly room	public gathering space in which social events and balls were held	
Q123655171	circus	structure (building or tent) where circus spectacles are performed	
Q240854	hall	large room used for meetings, social affairs or events	
Q1103285	clubhouse	building of a club	
Q4457958	Standardized cinema designs	overview of Soviet standardized architectural designs	
Q18435345	Q18435345		
Q64139068	WAGGGS World Centre	Girl Guide Scouting Center operated by WAGGGS	
Q55137811	Finn hall	meeting place of Finnish Americans	
Q16363669	sports park	area with one or more sports facilities	
Q130313562	first class bullring	Bullrings with a capacity of more than 10,000 spectators, with a proven bullfighting tradition and which hold a minimum of 7 general bullfighting shows per season, of which at least 6 must be bullfights.	
Q5447073	field house	building for physical education and recreation activities	
Q4119268	youth system	sporting concept encompassing the development of young athletes	
Q28920301	skate track	flat track for inline skating	
Q111153348	street hockey court	surface used to play street hockey	
Q85161577	Q85161577		
Q26137724	Audiovisual magic box		
Q11279064	JR Ticket Office	ticket counter of a JR station	
Q18330530	maison des jeunes et de la culture	type of youth and culture centre in France	
Q105535509	curling venue	type d'équipement sportif	
Q27908105	House of literature	cultural institutions for written art	
Q116787033	discontinued hiking path	hiking path no longer maintained	
Q685910	Skansens bergbana	funicular at Djurgården in Stockholm, Sweden	
Q110203714	municipal arts centre	arts centre run by a municipality	
Q3285431	mandapa	pillared hall or pavilion for public rituals in Indian architecture, similar to chavadi/choultry	
Q1847261	streekpad	type of hiking path in the Netherlands	
Q121072018	piste d'athlétisme isolée		
Q121084920	site d’escalade en falaise	type d'équipement sportif	
Q11924662	grau	typ of path in steep places	
Q589481	Olympic stadium	name usually given to the stadium of the Summer Olympic Games	
Q45905964	Flowtrail	Streckentyp im Mountainbike-Sport	
Q11999371	sand track		
Q48817437	military officers' club	military base building intended for off-duty use by officers while excluding personnel of lower rank	
Q131451358	sumo venue	arena for sumo wrestling	
Q60559053	Upholsterer’s Workshop	workshop at the world’s oldest open-air museum in Stockholm	
Q19757	Roman theatre	theatre building built in ancient Roman times	
Q130372071	Wheelchair trails		
Q2087181	historic house museum	house that has been transformed into a museum	
Q113361173	private swimming pool	type de piscine	
Q756102	open-air museum	type of museum; museum that exhibits collections of buildings and artifacts out-of-doors	
Q96622175	beach club		
Q93092632	distinguished Swedish hiking path	type of Swedish (virtual) hiking path	
Q2176308	closed race track	race track in which the start and finish points are joint, and the raceway is used several times as a circuit	
Q59327748	Q59327748		
Q121071315	terrain de boules	type d'équipement sportif	
Q121071700	piste de course sur le plat	type d'équipement sportif	
Q124007813	Soun Stadium	Activities physical and sports place in ogbomosho	
Q1181413	palace of culture	large house of culture, major club-house (thus named especially in socialist societies)	
Q26945165	architectural museum	museum dedicated to architecture	
Q18696798	backstage	parts of theater not visible to audience	
Q16679321	game court	outdoor playing area with a man-made hard floor surface for playing sports like tennis, badminton and basketball	
Q60607006	Skansen city quarters		
Q1253314	Strombad		
Q65010092	slalom piste	a piste to practice slalom skiing	
Q126946189	netball court	court for playing netball	
Q8034980	working men's club	type of private social club first created in the nineteenth century in industrialised areas of the United Kingdom	
Q120169965	playground of great games	family of sports equipment	
Q3448526	faculty bar	cafe run by one or more student groups	
Q81670826	basketball venue	venue for basketball matches	
Q617256	apadana	large hypostyle hall, the best known examples being the great audience hall and portico at Persepolis and the palace of Susa	
Q3280353	Maisons de la culture		
Q104029549	Q104029549		
Q16253250	Festhalle		
Q2116321	rail trail	railroad bed converted to a recreational trail	
Q2806878	Wattweg	hiking trail through wadden	
Q3079491	fosse à plongée	type d'équipement sportif	
Q65243996	pit	Zuschauerbereich (Stehplätze) direkt vor einer englischen Bühne	
Q1893407	orchestra pit	the area in a theater, between the stage and audience, in which musicians perform	
Q8570536	self-managed social centers in Italy	self-organised autonomous projects in Italy	
Q102421356	national pavillon	building for a particular country or region at an exposition	
Q131370352	Scout centre	activity centre for Scouting	
Q56293213	Rockpool	gemauertes Schwimmbecken am Meer, typisch für Australien	
Q60628067	Noraboden	building in Stockholm Municipality, Stockholm County, Sweden	
Q22124550	Q22124550		
Q60606967	Henhouse, Skansen	building in Stockholm Municipality, Stockholm County, Sweden	
Q121085040	salle de blocs artificiels d'escalade	type d'équipement sportif	
Q4306036	museum-reserve	museum type	
Q92577950	Anexo:Rutas jacobeas medievales		
Q29167278	carpet court	type of tennis court	
Q11598565	keirin racing track		
Q1470095	front of house	portions of a performance venue open to the public	
Q7777493	theatre in the round	theatre space in which the audience surrounds the stage	
Q61856285	Slogboden, Skansen	building in Sweden	
Q121072338	parcours 9 trous	type d'équipement sportif	
Q25055053	neutral buoyancy pool	pool of water in which neutral buoyancy is used to train astronauts for extravehicular activity and the development of procedures	
Q1276155	runway	raised walkway or stage used by models to display clothing and accessories during a fashion show	
Q385348	proscenium	vertical plane at the front of a theatrical stage	
Q2385493	Cruyff Court	type of football court in the Netherlands	
Q174713	planet trail	walking route which has a scale model of the solar system	
Q25964553	ceramics museum	type of museum	
Q7627808	student center	building at a college or university for student activities	
Q786922	drive-in theater	form of open-air cinema structure whose screen can be viewed from an automobile	
Q2860319	Greek theatre	theatre building built in Ancient Greek times	
Q11900212	photography centre		
Q60489927	Q60489927		
Q60515505	Q60515505		
Q8343573	Centre Catalan de Caracas	centre culturel catalan	
Q1741788	Prädikatswanderweg	type of German hiking path	
Q88077219	summer trail	trail with itinerary and markings adapted to the summer season	
Q7689629	Taxi dance hall	Type of dance hall	
Q101244826	skittle alley	long narrow building in which skittles is played	
Q113990878	WikiSendero Andes	sendero para tomar fotografías y documentar la región andina venezolana	
Q1281105	piste	path down a mountain used for snow skiing, snowboarding, or other mountain sports	
Q15700667	professional wrestling school	training school for professional wrestling	
Q3982342	teatro verzura		
Q60580726	Comb-maker’s Workshop	shop at Skansen containing the tools and fittings of Sweden’s last master comb-maker who died in 1942.	
Q47075851	marked hiking route		
Q113630493	Q113630493		
Q11665453	Fudoki no oka		
Q1349487	Erdstadion	Stadiontyp ohne Hoch- oder Ingenieurarbeiten	
Q60611780	Skansen's tobacco plants		
Q203609	dōjō	Japanese term for formal training hall of any martial arts	
Q97071243	piscina	public swimming pool in Ancient Rome, sometimes part of Roman baths	
Q692630	outdoor gym	fitness place outside – gym equipment in a public outdoor location	
Q92332734	school swimming pool	subconcept of School facilities (scot/10140)	
Q6450215	ridotto	the foyer of a theatre; in some cases, the name is used in Italy to indicate a minor room of a theater (next to the major room)	
Q118559325	bassin mixte de natation	type d'équipement sportif	
Q118559330	bassin sportif de natation	type d'équipement sportif	
Q827349	wave pool	a swimming pool which features artificially generated waves	
Q118559331	bassin ludique de natation	type d'équipement sportif	
Q118559337	bassin de réception de toboggan	type d'équipement sportif	
Q60820616	Lambgifte, Skansen	building in Stockholm Municipality, Stockholm County, Sweden	
Q1029573	ways of St. James in Catalonia	pilgrinage route in catalonia	
Q1054809	Cercle (Theater)		
Q116783401	sea water pool		
Q55176272	theosophical lodge		
Q123145293	Quinta de Raffo	Palace in Montevideo	
Q3641490	proscenium	plan vertical formant l'ouverture entre la salle de spectacle et la scène	
Q118559335	fosse à plongeon	type d'équipement sportif	
Q11767144	Q11767144	conventional stage structure	
Q11999486	Q11999486		
Q53576394	indoor skatepark		
Q121072309	parcours d'initiation	type d'équipement sportif	
Q121071740	parcours de cross	type d'équipement sportif	
Q46910493	Rundtheater	Konzept im Theaterbau	
Q2404544	Terence-Stage	theatre setting shown in Renaissance editions of the plays of Terence	
Q114897981	Piscine Plein Ciel	type de piscine publique française	
Q3329412	archaeological museum	museum specializing in archaeological artefacts	
Q114646415	petanque pitch	stade, couvert ou non, de pétanque	
Q7247842	production set	location modified to allow easy production of motion pictures	
Q3868199	museum of sacred art	museum dedicated to religious art	
Q114898003	Piscine Plein Soleil	type de piscine publique française	
Q722354	cinder track	generally a refined dirt running track for track and field competitions	
Q52987295	manor museum		
Q113640710	Stone Cottage, Skansen		
Q11822917	horse racing venue	venue used in horse racing	
Q15809682	Glacial erratic gardens and parks	Freiland-Sammlung von Geschiebeblöcken (großen Steinen)	
Q7709179	Thai playhouse	theater building used for drama in Thailand throughout history and in modern times	
Q9337720	Q9337720		
Q2169258	Round pen	round enclosure used for horse training	
Q11293354	Q11293354		
Q60606887	Q60606887	building in Stockholm Municipality, Stockholm County, Sweden	
